ID,ASSET,DEBT,RISKFREE,ASSETVOL,MATURITY,EQUITY,EQUITYVOL
1,267882853339.3226,214698033973.33005,0.028,0.13169254681872328,7.946112098390073,64432340753.75078,0.2584667059610381
2,3500823502.3605433,3433146411.43371,0.028,0.3810241861613485,0.5634159894118721,424751970.69860387,1.5236726491618893
3,866519191622.2131,392776491409.6076,0.028,0.6197088231853061,3.228923898495588,404883144858.823,0.7058561940814349
4,593118434608.0574,496521335644.92535,0.028,0.7594277309166254,9.056088089894114,70967733420.52812,0.022861820299189897
5,40216213956.554245,34897576586.56729,0.028,0.12095043139549502,2.029940586087189,6919217814.590717,0.3711593325797145
6,651265600391.5834,571244780000.4714,0.028,0.47103244669005584,1.012285428167054,147912175799.8312,1.0290954426509715
7,547404885484.0802,18522074125.32514,0.028,0.6621833238000875,3.55196330198775,522206743969.3375,0.6899221105115981
8,21165943163.411327,10989298674.886911,0.028,0.5377568117422206,2.9569671660733445,9663962817.471348,0.6568469599567885
9,247585204494.74286,46455614177.46773,0.028,0.4177074457057134,9.022014953913136,163447240595.0442,0.46620708487679874
10,980802803274.1262,145640125628.95465,0.028,0.34458407272867503,8.310574044865358,799185769253.125,0.3726638007538222
11,210368700043.64502,176450105121.64127,0.028,0.6670880697670278,1.2252458933774346,59697880585.821304,1.0527721541416974
12,815840845395.2557,133715391210.20831,0.028,0.28611505366490586,5.505353793829759,695961634069.4489,0.30974041997007223
13,119313600873.06158,104795297607.77165,0.028,0.4277718582745248,4.141657460867224,31067293257.58333,0.5873144114418305
14,925239219876.1758,702394919308.1536,0.028,0.44089472059490575,4.762414633067887,281854651146.92706,0.5416300921833925
15,648096634822.6508,467751112467.99,0.028,0.2586672073053854,5.105848285149454,213308993669.7234,0.3968189953382137
16,40859809970.01666,21966013300.267185,0.028,0.5327215597826588,6.995394637408702,13402154007.870785,0.46299500857876896
17,437718894450.00885,43855503235.09628,0.028,0.39884542661589195,9.324393379778803,360157933001.1828,0.4376438225697873
18,838007366565.3633,128615997910.51297,0.028,0.1842513855180578,5.772916598371448,728550738368.4523,0.20065769044193793
19,630933972988.1028,512517517950.3588,0.028,0.4472892424709518,1.036906987206798,164769438251.4668,0.9076502480577535
20,507400470678.47424,124102934278.12567,0.028,0.6020120281874547,8.400353593261672,210913075807.03503,0.5263826950258731
21,870374107049.7776,302543704129.5548,0.028,0.7453293872488669,9.003759338097918,194716130766.19107,0.14964541000421613
22,401373179634.09503,376848297497.9751,0.028,0.5297536117248347,6.263878529350505,85217588677.99718,0.4011507675579456
